transaction_id,customer_id,customer_name,email,purchase_date,product_category,product_name,quantity,unit_price,total_amount,payment_method,shipping_country,customer_age,discount_percent,Unnamed: 14,net_amount,year_month,customer_segment,into_dollars,is_repeat_customer,purchase_quarter,order_value
TRX001,C001,john smith,john@email.com,2024-01-15,Electronics,Laptop,1,999.99,999.99,Credit Card,USA,28,0,,299.997,2024-01,high,3.6144216867469883,True,1,999.99
TRX002,C002,sarah johnson,sarah.johnson@mail.com,2024-01-16,Books,Python Guide,3,29.99,89.97,PayPal,Canada,35,10,,26.991,2024-01,low,0.32519277108433736,True,1,89.97
TRX003,C003,mike williams,mike@yahoo.com,2024-01-16,Electronics,USB Cable,10,5.99,59.900000000000006,Debit Card,USA,40,5,,17.970000000000002,2024-01,low,0.21650602409638556,True,1,59.900000000000006
TRX004,C001,john smith,john.smith@email.com,2024-01-17,Clothing,T-Shirt,2,19.99,39.98,Credit Card,USA,28,0,,11.993999999999998,2024-01,low,0.14450602409638552,True,1,39.98
TRX005,C004,emily chen,emily_c@email.com,2024-01-18,Books,Data Science 101,1,45.0,45.0,Credit Card,UK,42,15,,13.5,2024-01,low,0.16265060240963855,False,1,45.0
TRX006,C005,robert brown,robert@email.com,2024-01-19,Electronics,Monitor,1,349.99,349.99,PayPal,USA,51,10,,104.997,2024-01,medium,1.2650240963855421,False,1,349.99
TRX007,C002,sarah johnson,sarah@email.com,2024-01-20,Clothing,Jeans,1,79.99,79.99,Credit Card,Canada,35,20,,23.996999999999996,2024-01,low,0.2891204819277108,True,1,79.99
TRX008,C006,jessica martinez,j.martinez@email.com,2024-01-21,Home,Coffee Maker,1,89.99,89.99,Debit Card,USA,29,0,,26.996999999999996,2024-01,low,0.3252650602409638,False,1,89.99
TRX009,C007,david lee,david.lee@hotmail.com,2024-01-22,Electronics,Headphones,2,149.99,299.98,Credit Card,USA,33,0,,89.994,2024-01,medium,1.0842650602409638,False,1,299.98
TRX010,C003,mike williams,mike.williams@email.com,2024-01-23,Books,The Art of Code,1,55.0,55.0,PayPal,USA,34,0,,16.5,2024-01,low,0.19879518072289157,True,1,55.0
TRX011,C008,anna garcia,anna_garcia@email.com,2024-01-24,Clothing,Dress,3,59.99,179.97,Credit Card,France,26,12,,53.991,2024-01,medium,0.6504939759036145,False,1,179.97
TRX012,C009,christopher white,chris@email.com,2024-01-25,Electronics,Keyboard,1,99.99,99.99,Credit Card,Germany,45,5,,29.996999999999996,2024-01,low,0.3614096385542168,False,1,99.99
TRX013,C010,laura martinez,laura@email.com,2024-01-26,Home,Blender,1,129.99,129.99,PayPal,USA,38,25,,38.997,2024-01,medium,0.4698433734939759,False,1,129.99
TRX014,C002,sarah johnson,sarah.j@email.com,2024-01-27,Books,Machine Learning Basics,2,65.0,130.0,Debit Card,Canada,35,0,,39.0,2024-01,medium,0.46987951807228917,True,1,130.0
TRX015,C011,michael johnson,michael.j@email.com,2024-01-28,Electronics,Monitor,1,349.99,349.99,Credit Card,USA,41,0,,104.997,2024-01,medium,1.2650240963855421,False,1,349.99
TRX016,C012,patricia brown,patricia@email.com,2024-01-29,Clothing,Jacket,2,299.99,599.98,Credit Card,USA,55,15,,179.994,2024-01,high,2.168602409638554,False,1,599.98
TRX017,C013,andrew davis,andrew.davis@yahoo.com,2024-01-30,Books,Web Dev Guide,1,39.99,39.99,PayPal,USA,29,10,,11.997,2024-01,low,0.1445421686746988,False,1,39.99
TRX018,C014,nicole wilson,nicole_w@email.com,2024-01-31,Home,Toaster,2,34.99,69.98,Credit Card,USA,31,0,,20.994,2024-01,low,0.2529397590361446,False,1,69.98
TRX019,C015,daniel rodriguez,daniel@email.com,2024-02-01,Electronics,Mouse,5,29.99,149.95,Credit Card,USA,27,5,5.0,44.98499999999999,2024-02,medium,0.5419879518072288,False,1,149.95
TRX020,C016,sandra lee,sandra.lee@email.com,2024-02-02,Clothing,Sweater,1,89.99,89.99,Credit Card,USA,33,0,,26.996999999999996,2024-02,low,0.3252650602409638,False,1,89.99
TRX021,C002,sarah johnson,sarah_j@email.com,2024-02-03,Books,Database Design,1,55.0,55.0,PayPal,Canada,35,20,,16.5,2024-02,low,0.19879518072289157,True,1,55.0
TRX022,C017,thomas clark,thomas@email.com,2024-02-04,Electronics,USB Hub,3,24.99,74.97,Debit Card,USA,50,0,,22.491,2024-02,low,0.27097590361445784,False,1,74.97
TRX023,C018,amanda taylor,amanda.t@email.com,2024-02-05,Home,Microwave,1,199.99,199.99,Credit Card,USA,42,10,,59.997,2024-02,medium,0.722855421686747,False,1,199.99
TRX024,C019,kevin miller,kevin_m@email.com,2024-02-06,Clothing,Shoes,1,129.99,129.99,PayPal,USA,38,25,,38.997,2024-02,medium,0.4698433734939759,False,1,129.99
TRX025,C020,sophia anderson,sophia@email.com,2024-02-07,Books,AI Fundamentals,1,49.99,49.99,Credit Card,USA,28,0,,14.997,2024-02,low,0.1806867469879518,False,1,49.99
TRX026,C021,matthew thomas,matthew.t@email.com,2024-02-08,Electronics,Monitor,1,349.99,349.99,Credit Card,USA,35,5,,104.997,2024-02,medium,1.2650240963855421,False,1,349.99
TRX027,C022,olivia jackson,olivia.j@email.com,2024-02-09,Clothing,Pants,2,69.99,139.98,Debit Card,Canada,31,15,,41.99399999999999,2024-02,medium,0.5059518072289155,False,1,139.98
TRX028,C023,christopher white,christopher@email.com,2024-02-10,Home,Air Fryer,1,159.99,159.99,Credit Card,USA,44,0,,47.997,2024-02,medium,0.5782771084337349,False,1,159.99
TRX029,C024,isabella harris,isabella.h@email.com,2024-02-11,Books,Python Advanced,1,59.99,59.99,PayPal,USA,26,0,,17.997,2024-02,low,0.21683132530120483,False,1,59.99
TRX030,C025,benjamin martin,b.martin@email.com,2024-02-12,Electronics,Laptop,1,1299.99,1299.99,Credit Card,USA,52,40,,389.997,2024-02,high,4.698759036144579,False,1,1299.99
